iter	Passed	Remaining
0	4	4686
1	6	3242
2	8	2687
3	13	3421
4	15	3088
5	17	2836
6	19	2767
7	21	2649
8	23	2568
9	29	2907
10	31	2821
11	34	2835
12	36	2742
13	37	2667
14	41	2727
15	43	2696
16	45	2629
17	47	2592
18	49	2558
19	51	2531
20	53	2511
21	57	2572
22	59	2538
23	61	2501
24	63	2491
25	65	2465
26	68	2459
27	70	2432
28	73	2447
29	75	2430
30	76	2393
31	77	2357
32	79	2323
33	81	2304
34	82	2281
35	85	2278
36	88	2300
37	90	2278
38	92	2275
39	94	2266
40	96	2253
41	97	2229
42	101	2255
43	103	2238
44	104	2217
45	106	2201
46	109	2218
47	110	2199
48	112	2178
49	113	2162
50	116	2170
51	118	2155
52	120	2147
53	123	2157
54	124	2140
55	125	2123
56	127	2106
57	130	2115
58	132	2110
59	133	2096
60	135	2087
61	137	2081
62	139	2073
63	141	2067
64	142	2056
65	147	2091
66	150	2091
67	152	2088
68	154	2078
69	155	2068
70	157	2059
71	159	2055
72	161	2049
73	163	2046
74	165	2035
75	167	2033
76	168	2021
77	170	2015
78	171	2005
79	173	1993
80	175	1996
81	177	1989
82	178	1973
83	180	1964
84	181	1954
85	183	1948
86	185	1944
87	186	1934
88	188	1933
89	191	1935
90	193	1928
91	194	1920
92	195	1911
93	199	1926
94	202	1925
95	205	1935
96	207	1929
97	208	1923
98	211	1922
99	212	1916
100	214	1906
101	215	1898
102	217	1890
103	221	1907
104	222	1900
105	224	1896
106	227	1901
107	229	1898
108	231	1891
109	233	1889
110	235	1885
111	236	1878
112	238	1875
113	241	1873
114	242	1866
115	243	1858
116	245	1852
117	247	1846
118	249	1849
119	251	1842
120	252	1837
121	254	1831
122	255	1825
123	257	1818
124	259	1817
125	261	1812
126	262	1805
127	265	1808
128	267	1803
129	268	1797
130	270	1795
131	273	1795
132	275	1793
133	279	1809
134	281	1805
135	283	1800
136	285	1795
137	287	1796
138	289	1792
139	291	1788
140	295	1799
141	296	1791
142	298	1791
143	301	1790
144	302	1785
145	304	1778
146	305	1772
147	309	1779
148	311	1776
149	312	1771
150	314	1770
151	316	1766
152	318	1762
153	320	1760
154	323	1761
155	325	1759
156	326	1752
157	328	1750
158	330	1748
159	331	1742
160	332	1734
161	334	1732
162	336	1728
163	341	1738
164	342	1734
165	344	1729
166	346	1728
167	348	1725
168	350	1721
169	351	1715
170	354	1716
171	355	1712
172	357	1708
173	358	1702
174	360	1697
175	362	1695
176	363	1689
177	364	1684
178	366	1683
179	369	1683
180	371	1679
181	372	1675
182	375	1677
183	378	1677
184	380	1675
185	384	1682
186	386	1679
187	387	1675
188	390	1674
189	392	1674
190	394	1670
191	400	1684
192	402	1682
193	405	1685
194	408	1684
195	410	1684
196	413	1685
197	415	1682
198	417	1682
199	420	1680
200	421	1677
201	423	1672
202	425	1669
203	427	1669
204	429	1666
205	432	1667
206	434	1664
207	436	1660
208	437	1657
209	439	1653
210	440	1648
211	443	1650
212	445	1646
213	447	1642
214	449	1640
215	451	1638
216	453	1636
217	455	1634
218	461	1645
219	462	1640
220	464	1637
221	467	1639
222	469	1635
223	470	1630
224	473	1632
225	475	1629
226	477	1625
227	479	1623
228	480	1619
229	482	1616
230	484	1612
231	488	1616
232	490	1613
233	491	1610
234	493	1606
235	495	1605
236	497	1602
237	499	1599
238	501	1597
239	503	1595
240	505	1590
241	507	1588
242	508	1585
243	510	1580
244	511	1576
245	513	1573
246	514	1568
247	516	1566
248	518	1563
249	520	1562
250	522	1559
251	524	1557
252	526	1555
253	528	1552
254	530	1548
255	533	1551
256	535	1548
257	537	1544
258	538	1541
259	540	1537
260	541	1533
261	543	1530
262	544	1526
263	548	1528
264	549	1524
265	550	1519
266	552	1515
267	553	1511
